cluster_id,police_station
0,Bellandur
1,City Market
2,Sheshadripuram
3,K.R. Pura
4,K.R. Pura
5,HAL Old Airport
6,Shivajinagar
7,Rajajinagar
8,Basavanagudi
9,Chikkabanavara
10,Chamarajpet
11,Jayanagara
12,Madiwala
13,HAL Old Airport
14,Chikkajala
15,Byatarayanapura
16,Basavanagudi
17,K.R. Pura
18,Kodigehalli
19,Kengeri
20,Kengeri
21,Hulimavu
22,Adugodi
23,Bellandur
24,Jeevanbheemanagar
25,Jeevanbheemanagar
26,Halasur
27,Magadi Road
28,Jeevanbheemanagar
29,Wilson Garden
30,Sheshadripuram
31,Mahadevapura
32,Kodigehalli
33,Jayanagara
34,Whitefield
35,Yeshwanthpura
36,High ground
37,Jalahalli
38,Chikkabanavara
39,K.S. Layout
40,Mahadevapura
41,Wilson Garden
42,Jeevanbheemanagar
43,Electronic City
44,Chikkabanavara
45,Banaswadi
46,Jnanabharathi
47,Jalahalli
48,Wilson Garden
49,Hennuru
50,R.T. Nagar
51,Halasur
52,Kengeri
53,Hennuru
54,Byatarayanapura
55,Adugodi
56,Adugodi
57,Adugodi
58,Hennuru
59,Wilson Garden
60,Yeshwanthpura
61,Mico Layout
62,Yelahanka
63,Jnanabharathi
64,Kodigehalli
65,Rajajinagar
66,Kengeri
67,Chamarajpet
68,Jalahalli
69,Yelahanka
70,Vijayanagara
71,Yeshwanthpura
72,Yelahanka
73,K.R. Pura
74,Whitefield
75,K.R. Pura
76,K.R. Pura
77,K.R. Pura
78,Mico Layout
79,J.P. Nagar
80,Yelahanka
81,Hennuru
82,J.P. Nagar
83,Yeshwanthpura
84,HAL Old Airport
85,K.R. Pura
86,Yelahanka
87,HSR Layout
88,Mahadevapura
89,Yelahanka
90,Peenya
91,Mico Layout
92,Cubbon Park
93,Banaswadi
94,Jeevanbheemanagar
95,Chikkabanavara
96,Bellandur
97,Basavanagudi
98,HAL Old Airport
99,Madiwala
100,R.T. Nagar
101,Yelahanka
102,Kodigehalli
103,Banaswadi
104,Jnanabharathi
105,Whitefield
106,Jalahalli
107,Kengeri
108,Basavanagudi
109,HSR Layout
110,J.P. Nagar
111,Yelahanka
112,Yelahanka
113,Wilson Garden
114,Electronic City
115,R.T. Nagar
116,Kamakshipalya
117,Chikkabanavara
118,Yeshwanthpura
119,Yelahanka
120,Chikkajala
121,Hulimavu
122,Electronic City
123,K.S. Layout
124,Thalagattapura
125,J.P. Nagar
126,Thalagattapura
127,Kamakshipalya
128,Kodigehalli
129,Banashankari
130,Jnanabharathi
131,Bellandur
132,Kodigehalli
133,Kamakshipalya
134,Jnanabharathi
135,Mico Layout
136,Yelahanka
137,Kodigehalli
138,Chikkabanavara
139,Thalagattapura
140,Kamakshipalya
141,J.P. Nagar
142,Madiwala
143,K.S. Layout
144,Hennuru
145,K.G. Halli
146,Adugodi
147,J.P. Nagar
148,Kengeri
149,Hennuru
150,Whitefield
151,Whitefield
152,Whitefield
153,High ground
154,Jalahalli
155,Kodigehalli
156,Kodigehalli
157,Cubbon Park
158,HSR Layout
159,Vijayanagara
160,HSR Layout
161,Sheshadripuram
162,Thalagattapura
163,Electronic City
164,Jayanagara
165,Yelahanka
166,Kodigehalli
