cluster_id,time_floor_4h,Total_Footprint,Violation_Count,hour,day_of_week,Is_Weekend,month,Lag_1_Shift,Lag_1_Day,Lag_1_Week,Target,Predicted_Next_Shift_Footprint,Predicted_Next_Shift_Impact,center_lat,center_lon,primary_violation
40,2024-04-08 12:00:00,0.0,0,12,0,0,4,29.0,0.0,0.0,0.0,3.1159058,1.4148589,12.995913215386853,77.69509218738801,NO PARKING
55,2024-04-08 12:00:00,5.0,2,12,0,0,4,9.0,4.0,0.0,0.0,1.8331406,1.0413859,12.93603939435484,77.61634141225807,NO PARKING
120,2024-04-08 12:00:00,0.0,0,12,0,0,4,19.0,0.0,0.0,0.0,1.5445311,0.9339464,13.185394776423358,77.68049685717696,NO PARKING
2,2024-04-08 12:00:00,28.0,11,12,0,0,4,72.0,0.0,0.0,0.0,1.3603795,0.85882235,12.991328399810762,77.54934134619667,WRONG PARKING
6,2024-04-08 12:00:00,0.0,0,12,0,0,4,18.0,0.0,0.0,0.0,1.3159957,0.8398397,12.983699533352581,77.60753924211326,WRONG PARKING
64,2024-04-08 12:00:00,0.0,0,12,0,0,4,12.0,0.0,0.0,0.0,1.252346,0.8119724,13.04772853537118,77.57561638279476,WRONG PARKING
18,2024-04-08 12:00:00,0.0,0,12,0,0,4,14.0,0.0,0.0,0.0,1.1845939,0.78143,13.070991500434921,77.58844753301868,WRONG PARKING
1,2024-04-08 12:00:00,0.0,0,12,0,0,4,7.0,0.0,0.0,7.0,0.5109713,0.41275272,12.975262861551327,77.57991706966656,WRONG PARKING
46,2024-04-08 12:00:00,0.0,0,12,0,0,4,3.0,0.0,0.0,0.0,0.250432,0.2234891,12.960976661914462,77.5115875197556,NO PARKING
131,2024-04-08 12:00:00,0.0,0,12,0,0,4,3.0,0.0,0.0,0.0,0.250432,0.2234891,12.900531024457308,77.67552813603474,NO PARKING
370,2024-04-08 12:00:00,0.0,0,12,0,0,4,3.0,0.0,0.0,0.0,0.250432,0.2234891,12.856574173670886,77.58889310253166,NO PARKING
382,2024-04-08 12:00:00,0.0,0,12,0,0,4,3.0,0.0,0.0,0.0,0.250432,0.2234891,13.025837966666666,77.62896699444444,WRONG PARKING
