violation_type,offence_code
DEFECTIVE NUMBER PLATE,104
DEFECTIVE NUMBER PLATE,105
DEFECTIVE NUMBER PLATE,106
DEFECTIVE NUMBER PLATE,107
DEFECTIVE NUMBER PLATE,108
DEFECTIVE NUMBER PLATE,109
DEFECTIVE NUMBER PLATE,110
DEFECTIVE NUMBER PLATE,111
DEFECTIVE NUMBER PLATE,112
DEFECTIVE NUMBER PLATE,113
DEFECTIVE NUMBER PLATE,116
DEFECTIVE NUMBER PLATE,124
DEFECTIVE NUMBER PLATE,125
DEFECTIVE NUMBER PLATE,130
DEFECTIVE NUMBER PLATE,133
DEFECTIVE NUMBER PLATE,135
DEFECTIVE NUMBER PLATE,136
DEFECTIVE NUMBER PLATE,140
DEFECTIVE NUMBER PLATE,144
DEFECTIVE NUMBER PLATE,147
DEFECTIVE NUMBER PLATE,237
DEMANDING EXCESS FARE,113
DEMANDING EXCESS FARE,125
DOUBLE PARKING,104
DOUBLE PARKING,105
DOUBLE PARKING,107
DOUBLE PARKING,108
DOUBLE PARKING,109
DOUBLE PARKING,110
DOUBLE PARKING,111
DOUBLE PARKING,112
DOUBLE PARKING,113
DOUBLE PARKING,115
DOUBLE PARKING,116
DOUBLE PARKING,124
DOUBLE PARKING,125
DOUBLE PARKING,130
DOUBLE PARKING,133
DOUBLE PARKING,134
DOUBLE PARKING,135
DOUBLE PARKING,136
DOUBLE PARKING,146
FAIL TO USE SAFETY BELTS,110
FAIL TO USE SAFETY BELTS,113
FAIL TO USE SAFETY BELTS,147
H T V PROHIBITED,104
H T V PROHIBITED,105
H T V PROHIBITED,107
H T V PROHIBITED,109
H T V PROHIBITED,112
H T V PROHIBITED,113
H T V PROHIBITED,116
H T V PROHIBITED,123
H T V PROHIBITED,124
H T V PROHIBITED,125
H T V PROHIBITED,135
H T V PROHIBITED,136
H T V PROHIBITED,147
H T V PROHIBITED,437
NO PARKING,104
NO PARKING,105
NO PARKING,106
NO PARKING,107
NO PARKING,108
NO PARKING,109
NO PARKING,111
NO PARKING,112
NO PARKING,113
NO PARKING,116
NO PARKING,124
NO PARKING,125
NO PARKING,133
NO PARKING,136
NO PARKING,139
NO PARKING,144
OBSTRUCTING DRIVER,107
OBSTRUCTING DRIVER,113
OBSTRUCTING DRIVER,136
OBSTRUCTING DRIVER,139
PARKING IN A MAIN ROAD,104
PARKING IN A MAIN ROAD,106
PARKING IN A MAIN ROAD,107
PARKING IN A MAIN ROAD,108
PARKING IN A MAIN ROAD,109
PARKING IN A MAIN ROAD,111
PARKING IN A MAIN ROAD,112
PARKING IN A MAIN ROAD,113
PARKING IN A MAIN ROAD,116
PARKING IN A MAIN ROAD,124
PARKING IN A MAIN ROAD,125
PARKING IN A MAIN ROAD,133
PARKING IN A MAIN ROAD,144
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,104
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,105
